operator,model_mae,model_rmse,model_smape,model_n,baseline_global_mean_mae,baseline_global_mean_rmse,baseline_global_mean_smape,baseline_global_mean_n,baseline_per_station_mean_mae,baseline_per_station_mean_rmse,baseline_per_station_mean_smape,baseline_per_station_mean_n
AM,0.21936348101489536,0.4492045410352205,89.95604747106093,60,0.44059829059829064,0.5506257273777081,180.73049763076867,60,0.17564102564102563,0.3883155348876845,85.24076870764519,60
EG,0.2730066103642445,0.4440280251874433,164.05833259115175,148,0.33891948081137274,0.4829609535227274,189.33075583110147,148,0.275987525987526,0.46674985741175207,165.822114173286,148
GE,0.7667774470899471,1.0346749610934272,171.68223811572614,4,0.75,0.8912792481735744,152.8099528099528,4,0.75,1.0007393716352067,151.94805194805195,4
KO,0.24694732437488962,0.47323798665392103,101.9148537297577,52,0.43343195266272194,0.5665738408713937,182.5767452886097,52,0.23816568047337278,0.4687552154162903,113.26193497577935,52
MO,0.18427273955297652,0.3991765842280774,195.48250423620524,36,0.2428774928774928,0.39563972392338936,196.15188825155576,36,0.23931623931623935,0.42327112869792766,193.4623015873016,36
NAO,0.5595389476100603,0.7075790916534023,173.66568593166437,82,0.5595799203770648,0.6963722415192091,172.5630205923851,82,0.5581613508442776,0.7105680213564746,173.43699431112353,82
NO,0.26830914624515356,0.5267796881418566,157.61069628804822,68,0.41835240883683794,0.5785001955040949,188.1128356152118,68,0.2839366515837104,0.512547061331987,145.7610165364014,68
OO,0.28597062946599533,0.5335956994489264,125.12261608255491,56,0.4515306122448979,0.6123724356957946,187.59920634920633,56,0.2596153846153846,0.4842183966159297,126.19158865543304,56
